subjID,Condition,MD,Dom,Load,Rate
71001,lo.emo.sur_p_MAD,0.372538056,1,0,0
71002,lo.emo.sur_p_MAD,0.373416453,1,0,0
71003,lo.emo.sur_p_MAD,0.583443017,1,0,0
71005,lo.emo.sur_p_MAD,0.092553279,1,0,0
71007,lo.emo.sur_p_MAD,0.866769832,1,0,0
71009,lo.emo.sur_p_MAD,-0.091243842,1,0,0
71010,lo.emo.sur_p_MAD,1.016491045,1,0,0
71011,lo.emo.sur_p_MAD,-0.194829934,1,0,0
71012,lo.emo.sur_p_MAD,0.147839201,1,0,0
71013,lo.emo.sur_p_MAD,0.813316091,1,0,0
71014,lo.emo.sur_p_MAD,,1,0,0
71015,lo.emo.sur_p_MAD,,1,0,0
71016,lo.emo.sur_p_MAD,1.426382714,1,0,0
71018,lo.emo.sur_p_MAD,0.896637145,1,0,0
71019,lo.emo.sur_p_MAD,,1,0,0
71020,lo.emo.sur_p_MAD,0.707358332,1,0,0
71021,lo.emo.sur_p_MAD,1.383622916,1,0,0
71023,lo.emo.sur_p_MAD,0.28575954,1,0,0
71024,lo.emo.sur_p_MAD,1.129302518,1,0,0
71025,lo.emo.sur_p_MAD,1.111539003,1,0,0
71026,lo.emo.sur_p_MAD,0.156288745,1,0,0
71028,lo.emo.sur_p_MAD,0.470849151,1,0,0
71029,lo.emo.sur_p_MAD,,1,0,0
71030,lo.emo.sur_p_MAD,-0.007497945,1,0,0
71032,lo.emo.sur_p_MAD,0.386506948,1,0,0
71033,lo.emo.sur_p_MAD,,1,0,0
71034,lo.emo.sur_p_MAD,0.913436385,1,0,0
71035,lo.emo.sur_p_MAD,,1,0,0
71036,lo.emo.sur_p_MAD,-0.05232374,1,0,0
71037,lo.emo.sur_p_MAD,0.056951087,1,0,0
71038,lo.emo.sur_p_MAD,-0.12703903,1,0,0
71039,lo.emo.sur_p_MAD,0.814635198,1,0,0
71040,lo.emo.sur_p_MAD,1.051298125,1,0,0
71041,lo.emo.sur_p_MAD,0.367309974,1,0,0
71042,lo.emo.sur_p_MAD,0.000244535,1,0,0
71043,lo.emo.sur_p_MAD,,1,0,0
71044,lo.emo.sur_p_MAD,1.471009606,1,0,0
71046,lo.emo.sur_p_MAD,-0.062706561,1,0,0
71047,lo.emo.sur_p_MAD,,1,0,0
71049,lo.emo.sur_p_MAD,,1,0,0
71050,lo.emo.sur_p_MAD,0.680898603,1,0,0
71052,lo.emo.sur_p_MAD,,1,0,0
71053,lo.emo.sur_p_MAD,,1,0,0
71054,lo.emo.sur_p_MAD,0.215084971,1,0,0
71055,lo.emo.sur_p_MAD,,1,0,0
71056,lo.emo.sur_p_MAD,0.935244922,1,0,0
71058,lo.emo.sur_p_MAD,0.08589331,1,0,0
71059,lo.emo.sur_p_MAD,,1,0,0
71060,lo.emo.sur_p_MAD,-0.279841642,1,0,0
71062,lo.emo.sur_p_MAD,1.343149156,1,0,0
71001,lo.emo.sur_n_MAD,0.412841632,1,0,1
71002,lo.emo.sur_n_MAD,0.093838832,1,0,1
71003,lo.emo.sur_n_MAD,1.421554642,1,0,1
71005,lo.emo.sur_n_MAD,0.316085247,1,0,1
71007,lo.emo.sur_n_MAD,0.38910109,1,0,1
71009,lo.emo.sur_n_MAD,-0.06992943,1,0,1
