"","subjID","ang_rate","hap_rate","sur_rate","neg_rate","pos_rate","amb_rate","ang_rate_b1","hap_rate_b1","sur_rate_b1","neg_rate_b1","pos_rate_b1","amb_rate_b1","ang_rate_b2","hap_rate_b2","sur_rate_b2","neg_rate_b2","pos_rate_b2","amb_rate_b2","ang_rate_b3","hap_rate_b3","sur_rate_b3","neg_rate_b3","pos_rate_b3","amb_rate_b3","ang_rate_b4","hap_rate_b4","sur_rate_b4","neg_rate_b4","pos_rate_b4","amb_rate_b4","ang_RT","hap_RT","sur_RT","sur_p_RT","sur_n_RT","neg_RT","pos_RT","amb_RT","amb_p_RT","amb_n_RT","erq_1","erq_2","erq_3","erq_4","erq_5","erq_6","erq_7","erq_8","erq_9","erq_10","ERQCR","ERQES","stai.s_1-","stai.s_2-","stai.s_3","stai.s_4","stai.s_5-","stai.s_6","stai.s_7","stai.s_8-","stai.s_9","stai.s_10-","stai.s_11-","stai.s_12","stai.s_13","stai.s_14","stai.s_15-","stai.s_16-","stai.s_17","stai.s_18","stai.s_19-","stai.s_20-","STAI.S","stai.t_1-","stai.t_2","stai.t_3-","stai.t_4","stai.t_5","stai.t_6-","stai.t_7-","stai.t_8","stai.t_9","stai.t_10-","stai.t_11","stai.t_12","stai.t_13-","stai.t_14-","stai.t_15","stai.t_16-","stai.t_17","stai.t_18","stai.t_19-","stai.t_20","STAI.T","NE_only_1-","NE_only_2","NE_only_3","NE_only_4","NE_only_5","NE_only_6","NE_only_7","NE_only_8","NE_only_9-","NE_only_10","NE_only_11","NE_only_12-","NE_only_13","NE_only_14-","NE_only_15-","NE_only_16-","NE_only_17","NE_only_18-","NE_only_19-","NE_only_20","NE_only_21","NE_only_22","NE_only_23-","NE_only_24-","NE_only_25","NE_only_26","NE_only_27-","NE_only_28-","NE_only_29","NE_only_30-","NE_only_31-","NE_only_32","NE_only_33-","NE_only_34","NE_only_35","NE_only_36","NE_only_37","NE_only_38","NE_only_39-","NE_only_40","NE_only_41","NE_only_42-","NE_only_43","NE_only_44-","NE_only_45-","NE_only_46-","NE_only_47","NE_only_48-","NE_only_49","NE_only_50","NE_only_51","NE_only_52","NE_only_53","NE_only_54-","NE_only_55-","NE_only_56","NE_only_57-","NE_only_58","NE_only_59-","NE_only_60","NEO.N","NEO.E","NEO.O","NEO.A","NEO.C","bdi.1","bdi.2","bdi.3","bdi.4","bdi.5","bdi.6","bdi.7","bdi.8","bdi.9","bdi.10","bdi.11","bdi.12","bdi.13","bdi.14","bdi.15","bdi.16","bdi.17","bdi.18","bdi.19","bdi.20","bdi.21","BDI"
"1",71001,1,0.0833333333333333,0.708333333333333,0.916666666666667,0,0.625,1,0,0.666666666666667,NA,NA,NA,NA,NA,NA,1,0,0.833333333333333,1,0.166666666666667,0.75,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.416666666666667,1521.83333333333,1948.72727272727,2891.95833333333,2850.85714285714,2908.88235294118,1656.45454545455,1506.08333333333,2225.29166666667,2137.44444444444,2278,6,4,5,1,2,1,5,2,3,4,4,2.25,2,3,2,1,3,1,1,2,1,3,1,2,2,1,2,2,1,1,2,3,36,1,2,2,2,1,2,2,3,3,1,1,1,2,3,2,2,3,1,2,4,40,4,3,2,4,3,4,4,2,4,3,3,3,3,3,1,2,4,4,0,3,3,4,1,3,0,3,4,4,3,2,4,2,4,3,3,1,3,3,4,3,1,3,1,4,3,3,3,1,4,3,0,4,2,2,4,0,4,2,4,4,28,41,29,38,32,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"2",71002,1,0,0.75,0.916666666666667,0,0.416666666666667,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1,0,0.666666666666667,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.416666666666667,1489.41666666667,1726.91666666667,1640.04166666667,1993.83333333333,1522.11111111111,1645.18181818182,1626.58333333333,2049.29166666667,2009.07142857143,2105.6,7,5,7,2,7,4,7,7,4,7,7,3.75,2,1,2,1,2,1,1,2,1,1,3,1,2,3,2,2,1,1,2,1,32,2,2,2,4,2,3,2,2,4,2,1,3,1,3,2,2,4,2,2,4,49,3,2,3,3,2,2,3,3,3,4,3,3,2,2,3,2,4,3,3,2,3,3,1,3,3,1,2,2,4,1,4,2,1,3,4,2,3,2,3,0,1,4,2,1,0,3,4,2,4,4,2,4,3,3,3,3,2,3,3,4,29,36,27,35,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,8
"3",71003,1,0,0.0416666666666667,1,0,0.375,NA,NA,NA,1,0,0.5,1,0,0.0833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.25,1,0,0,NA,NA,NA,1512.75,1651,1916.33333333333,1903.34782608696,2215,2090.58333333333,1690.83333333333,2332.54166666667,2200.06666666667,2553.33333333333,6,4,6,1,5,3,6,5,2,6,5.66666666666667,2.5,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,2,1,28,1,2,1,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,31,1,3,2,3,4,3,4,3,2,4,2,4,2,2,3,1,4,3,0,3,1,3,1,2,3,1,4,3,3,3,2,4,2,2,4,2,4,3,2,4,1,4,1,2,4,2,2,2,4,4,1,4,4,1,4,1,3,2,2,4,18,43,28,25,44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,6
"4",71004,1,0,0.5,0.833333333333333,0,0.541666666666667,NA,NA,NA,0.666666666666667,0,0.5,1,0,0.5,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,1,0,0.5,NA,NA,NA,1634.5,1693.91666666667,2034.58333333333,2063.25,2005.91666666667,2135.9,2115.83333333333,2928.25,3094.90909090909,2787.23076923077,5,4,3,2,5,2,6,6,3,6,5.16666666666667,2.75,1,1,3,3,3,1,2,2,1,2,1,2,2,1,2,2,2,1,3,3,38,1,3,1,1,2,2,2,2,3,2,1,1,1,2,2,2,2,2,2,1,35,2,3,3,4,4,3,3,3,3,3,2,2,3,3,2,2,3,1,2,3,2,3,3,2,3,1,2,2,3,1,3,3,3,3,3,2,4,4,3,3,3,3,2,2,2,2,3,2,4,3,2,3,3,2,3,1,2,3,1,4,25,34,32,32,34,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,6
"5",71005,0.916666666666667,0,0.666666666666667,1,0,0.583333333333333,1,0,0.583333333333333,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,0.833333333333333,0,0.75,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,2124.09090909091,2630.58333333333,3179.45833333333,4050.75,2743.8125,2069.91666666667,2175.66666666667,3697.16666666667,3871.3,3572.78571428571,6,3,6,2,5,1,7,6,2,6,6,2,3,3,2,2,3,2,2,3,1,2,2,2,1,3,3,3,4,1,3,3,48,3,3,3,3,2,4,3,3,3,3,2,2,2,4,2,3,2,2,3,3,55,4,4,2,4,4,3,2,3,4,3,4,0,3,3,2,3,4,2,3,4,3,2,1,4,4,2,1,2,4,1,4,1,4,3,4,2,2,4,2,3,3,3,1,4,3,4,4,2,4,3,2,1,4,3,3,3,3,2,4,4,37,27,30,42,38,2,1,0,0,1,0,2,2,1,2,0,0,0,0,1,0,0,3,1,2,0,18
"6",71007,1,0,0.791666666666667,0.833333333333333,0,0.583333333333333,NA,NA,NA,0.833333333333333,0,0.5,1,0,0.75,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.666666666666667,1,0,0.833333333333333,NA,NA,NA,1463.41666666667,1593.75,1824.66666666667,2491.2,1649.26315789474,2049.7,1702.66666666667,2514.70833333333,2108.3,2805,6,6,6,3,5,5,6,6,5,6,5.83333333333333,4.75,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,22,1,2,1,1,1,3,2,2,2,1,1,2,1,2,1,1,2,1,1,2,30,3,2,1,4,3,3,2,3,3,0,3,2,2,3,3,1,3,4,3,4,3,2,0,1,4,1,1,2,3,3,2,1,3,2,4,1,2,1,3,4,1,3,0,4,3,1,3,3,3,4,1,3,3,3,3,1,3,2,1,4,21,27,24,33,39,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,7
"7",71008,1,0,0.625,0.833333333333333,0,0.375,NA,NA,NA,0.833333333333333,0,0.416666666666667,1,0,0.583333333333333,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.333333333333333,1,0,0.666666666666667,NA,NA,NA,1357.5,1436,1615.875,1672.66666666667,1581.8,1715,1606.75,1939.95833333333,1838.13333333333,2109.66666666667,1,2,5,1,4,3,3,3,2,3,3.16666666666667,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,2,1,25,2,1,2,3,1,3,1,1,1,1,1,1,2,1,2,1,2,2,1,3,32,3,4,4,4,3,3,4,4,1,4,2,2,3,1,3,3,4,4,0,4,0,4,4,1,3,1,4,4,2,1,4,3,3,3,3,2,4,4,0,4,1,4,4,2,3,1,4,4,4,4,1,4,4,0,3,0,4,1,1,3,21,45,43,19,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,2,0,3,0,1,0,11
"8",71009,1,0,0.916666666666667,1,0,0.5,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,1,0,0.416666666666667,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,1403.66666666667,1312.58333333333,1655.20833333333,3523,1485.40909090909,1507.66666666667,1519.91666666667,2108.58333333333,2120.91666666667,2096.25,5,5,5,2,6,3,6,7,3,7,6,3.25,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,24,2,2,2,1,1,2,1,2,2,2,2,2,1,3,2,2,2,2,1,1,35,1,1,2,4,3,2,3,4,4,3,1,2,4,2,4,1,3,4,2,4,1,2,3,2,3,0,1,3,2,1,1,2,1,4,4,0,4,2,3,3,0,3,3,3,1,0,1,4,4,4,1,3,4,4,3,1,3,4,3,4,9,28,38,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"9",71010,1,0,0.875,0.916666666666667,0,0.5,1,0,0.833333333333333,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,1,0,0.916666666666667,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0.416666666666667,1461.41666666667,1511.33333333333,1831.375,2748.33333333333,1700.38095238095,1426,1333.5,1669.875,1465.83333333333,1873.91666666667,6,5,7,2,5,3,6,6,2,5,5.83333333333333,3,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,26,2,2,2,2,1,3,2,3,4,1,2,2,2,2,1,2,2,1,2,2,40,3,2,3,3,2,3,4,4,2,1,3,2,2,3,1,2,3,3,3,2,2,2,3,3,1,2,2,2,1,1,3,3,3,2,2,3,3,3,2,2,1,4,3,2,1,2,2,3,3,2,2,3,3,2,1,1,2,3,2,3,27,32,35,28,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,6
"10",71011,1,0,0.958333333333333,1,0,0.541666666666667,NA,NA,NA,1,0,0.5,1,0,1,NA,NA,NA,NA,NA,NA,1,0,0.583333333333333,1,0,0.916666666666667,NA,NA,NA,1258.58333333333,1278.33333333333,1244.20833333333,1324,1240.73913043478,1470.41666666667,1357.16666666667,1548.66666666667,1598.90909090909,1506.15384615385,5,3,5,2,6,2,7,4,3,5,5.33333333333333,2.5,2,1,3,3,3,1,4,3,2,2,2,4,1,2,3,3,3,3,1,2,48,2,2,2,3,1,2,3,1,3,1,1,2,2,2,1,2,2,2,2,1,37,3,3,1,4,4,2,3,3,3,3,2,4,2,3,3,3,4,3,3,3,2,1,2,3,2,1,1,1,4,3,3,1,4,4,4,4,3,3,3,3,1,3,1,2,2,1,4,3,4,3,1,3,2,2,4,1,4,1,4,4,24,34,26,39,38,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,7
